Year_local,DOY,daytime,FC,LE,TA,RECO,GPP,SWC,TS
2022,173.8748,0,12.751832857142857,59.17335714285714,27.9103,12.182717204398845,-0.569115653,20.568565,19.95
2022,173.8956,0,9.8851902,52.9583,26.6942,11.82338597,1.938195770286999,20.487106,20
2022,173.9165,0,13.45224,41.5321,26.6272,11.795877588040064,-1.656362412,20.413405,20.1
2022,173.9373,0,9.265256545454545,46.2817,25.9556,11.593594613015924,2.328338067561379,20.359099,20.14
2022,173.9581,0,12.91432,32.861200000000004,21.8329,10.387589205056637,-2.526730795,20.343583000000002,20.2
2022,173.979,0,10.136733333333334,21.655741666666668,21.4191,10.259749549059228,0.1230162157258938,20.312551,20.2
2022,174,0,-4.550065,108.7399,24.6323,11.18678871592223,15.73685371592223,20.308672,20.24
2022,174.0208,0,10.196698333333334,25.661575,24.1881,11.050359569327917,0.853661236,20.320309,20.3
2022,174.0416,0,12.282,34.0003,24.259,11.063248782633533,-1.218751217,20.335825,20.3
2022,174.0624,0,10.16954076923077,25.910061538461537,24.0965,11.008548528524308,0.8390077592935388,20.339704,20.27
2022,174.0833,0,12.679133333333333,40.3173,23.7489,10.900312523273817,-1.77882081,20.35522,20.2
2022,174.1041,0,9.682616428571428,22.70808,23.2108,10.736973326793471,1.0543568982220428,20.362978000000002,20.2
2022,174.1249,0,12.83865,30.229750000000003,22.9675,10.659082595924058,-2.179567404,20.382373,20.15
2022,174.1458,0,9.732578888888888,22.927152222222222,22.566,10.535451762764868,0.8028728738759803,20.390131,20.1
2022,174.1666,0,10.776496666666668,19.8976,22.2255,10.429567506476236,-0.34692916,20.397889,20
2022,174.1874,0,9.843267222222222,22.65870777777777,21.9833,10.35222338950377,0.5089561672815481,20.401768,19.94
2022,174.2083,1,12.7529475,24.775275,21.8784,10.314675668329045,-2.438271832,20.409526,19.87
2022,174.2291,1,9.758595,13.671675,21.5865,10.223091295601542,0.4644962956015419,20.417284,19.79
2022,174.2499,1,16.4305,53.7461,21.2553,10.12023054996165,-6.31026945,20.428921,19.7
2022,174.2707,1,7.908712,36.127314,21.1134,10.072173099564443,2.1634610995644445,20.452195,19.6
2022,174.2916,1,6.8427675,91.7736,20.9611,10.021162852993712,3.178395352993713,20.452195,19.51
2022,174.3124,1,-7.0730875,104.38974,21.8579,10.272854643407088,17.345942143407086,20.47159,19.42
2022,174.3332,1,-17.7804,174.555,21.3303,10.113626469256907,27.894026469256907,20.487106,19.33
2022,174.3541,1,-15.8788,175.407,22.7737,10.521964129024264,26.400764129024264,20.483227,19.24
2022,174.3749,1,-19.682,173.703,23.8835,10.833083189396165,30.515083189396165,20.483227,19.15
2022,174.3957,1,-20.488375,258.33275000000003,25.4651,11.27771329474238,31.76608829474237,20.494864,19.06
2022,174.4165,1,-22.6533,279.72,24.9023,11.10920642798675,33.76250642798675,20.494864,18.95
2022,174.4374,1,-21.5128,287.695,25.6231,11.306922301885544,32.81972230188554,20.506501,18.86
2022,174.4582,1,-21.1149,296.207,27.2019,11.74734895072202,32.86224895072202,20.506501,18.75
2022,174.479,-9999,-24.4973,374.5926,27.54574642857143,11.83639167241938,36.33369167241938,20.51038,18.65
2022,174.499,-9999,-24.44413333,388.3023333333333,27.854433333333333,11.915262577522022,36.35939591085536,20.518138,18.56
2022,174.5207,1,-27.2082,447.736,27.643,11.847216909419444,39.05541690941945,20.51038,18.48
2022,174.5415,1,-25.0093,420.964,28.7184,12.14169866892625,37.15099866892625,20.518138,18.4
2022,174.5624,1,-23.4986,399.047,28.0868,11.95556067047712,35.45416067047712,20.518138,18.36
2022,174.5832,1,-20.9205,388.673,28.9532,12.190469905207785,33.11096990520778,20.502622000000002,18.3
2022,174.604,1,-22.9635,392.86,29.0112,12.198124883381425,35.16162488338142,20.452195,18.3
2022,174.6249,1,-20.2058,369.388,28.6244,12.081150897231248,32.28695089723125,20.397889,18.3
2022,174.6457,1,-18.2762,330.336,29.0267,12.18524599141882,30.46144599141882,20.343583000000002,18.3
2022,174.6665,1,-17.0663,325.163,29.1395,12.20816224388926,29.27446224388926,20.293156,18.32
2022,174.6873,1,-14.5544,279.603,28.3182,11.969847399693975,26.524247399693976,20.207818,18.4
2022,174.7082,1,-14.8503,285.177,28.3646,11.974361895145682,26.82466189514568,20.118600999999998,18.41
2022,174.729,1,-12.5945,256.969,28.3158,11.952235399055278,24.54673539905528,20.037142,18.5
2022,174.7498,1,-9.068325,211.7705,28.0387,11.866285458119824,20.934610458119824,19.940167,18.57
2022,174.7707,1,-6.42191,182.267,27.6119,11.738473910591605,18.160383910591605,19.827676,18.65
2022,174.7915,1,-2.40659,122.669,27.0614,11.576003037736802,13.982593037736802,19.719064,18.74
2022,174.8123,1,0.679282,89.8571,26.0191,11.275421268675954,10.596139268675952,19.633726000000003,18.85
2022,174.8332,1,7.86283,50.7641,24.5558,10.8558077,2.992977701115799,19.54063,18.95
2022,174.854,0,10.124851111111113,24.987156666666667,22.0082,10.128762762851188,0.003911652,19.455292,19.04
2022,174.8748,0,11.491215,63.69525,20.8953,9.806604635870809,-1.684610364,19.350559,19.13
2022,174.8956,0,10.585302666666667,22.478574666666667,19.8743,9.510569157607897,-1.074733509,19.296253,19.2
2022,174.9165,0,13.45224,41.5321,19.8643,9.500960999180784,-3.951279001,19.226430999999998,19.3
2022,174.9373,0,9.66334,27.7047,23.4684,10.511485982292957,0.8481459822929569,19.195399,19.31
2022,174.9581,0,12.91432,32.861200000000004,23.5212,10.51883430712851,-2.395485693,19.168246,19.4
2022,174.979,0,9.384733846153846,33.49734615384615,23.4048,10.478604468963953,1.0938706228101047,19.172125,19.4
2022,175,0,11.031634,40.22598,22.95,10.343302764899503,-0.688331235,19.195399,19.4
2022,175.0208,0,12.182471,30.68224,18.5541,9.097513161971138,-3.084957838,19.214793999999998,19.4
2022,175.0416,0,12.282,34.0003,23.8371,10.577345527503072,-1.704654472,19.195399,19.4
2022,175.0624,0,12.182471,30.68224,18.4774,9.062883979487117,-3.119587021,19.214793999999998,19.4
2022,175.0833,0,12.679133333333333,40.3173,22.4801,10.181922527189505,-2.497210806,19.214793999999998,19.4
2022,175.1041,0,10.428134615384616,22.769201538461537,19.2494,9.267045234,-1.161089381,19.245826,19.4
2022,175.1249,0,12.83865,30.229750000000003,19.0367,9.200608884964309,-3.638041115,19.249705,19.31
2022,175.1458,0,8.627936153846154,30.34587692307692,23.1264,10.340855901376855,1.7129197475307016,19.265221,19.26
2022,175.1666,0,12.295243333333334,27.05584238095238,18.306,8.982294550350955,-3.312948783,19.272979,19.17
2022,175.1874,0,12.484919090909091,34.774854545454545,18.3347,8.983882878528625,-3.501036212,19.261342,19.08
2022,175.2083,1,11.393932608695652,27.39427043478261,18.5062,9.025483834196477,-2.368448774,19.280737000000002,18.98
2022,175.2291,1,-1.591974286,147.90555357142858,22.9482,10.261423725312287,11.853398011026576,19.296253,18.88
2022,175.2499,1,16.4305,53.7461,22.4573,10.117135058197729,-6.313364942,19.30789,18.77
2022,175.2707,1,11.2424,23.79125,21.9286,9.962388438730851,-1.280011561,19.311769,18.67
2022,175.2916,1,6.8427675,132.2955,21.0152,9.700391183353949,2.857623683353949,19.315648,18.56
2022,175.3124,1,-7.899483333,134.694,21.7314,9.893057216441072,17.792540549774404,19.323406000000002,18.46
2022,175.3332,1,-10.0625,129.897,22.3057,10.04576443288354,20.10826443288354,19.338922,18.37
2022,175.3541,1,-17.6111,218.016,23.6043,10.399145121542093,28.01024512154209,19.319527,18.28
2022,175.3749,1,-17.409,200.876,24.812,10.725921778924857,28.134921778924856,19.335043,18.18
2022,175.3957,1,-21.7916,268.471,25.8671,11.00919667179148,32.800796671791474,19.342801,18.09
2022,175.4165,1,-24.1389,335.253,27.1548,11.354993457117624,35.49389345711762,19.34668,18
2022,175.4374,1,-26.6995,333.746,28.634,11.751057380499432,38.45055738049943,19.338922,17.9
2022,175.4582,1,-23.8256,295.894,28.3242,11.65807923909234,35.48367923909234,19.354438,17.82
2022,175.479,1,-23.4303,302.555,29.3772,11.93603932464116,35.36633932464116,19.350559,17.74
2022,175.4999,1,-26.0333,350.77133333333336,30.2018,12.150709802599131,38.184009802599135,19.366075,17.66
2022,175.5207,1,-30.844,453.865,30.3895,12.192569602316093,43.03656960231609,19.369954,17.6
2022,175.5415,1,-26.66335,455.584,31.737,12.546269337355769,39.20961933735577,19.366075,17.52
2022,175.5624,1,-24.24668571,416.7515714285714,31.6399,12.511086533281448,36.75777224756716,19.377712,17.5
2022,175.5832,1,-22.4827,457.303,31.4578,12.453134602508824,34.93583460250883,19.331164,17.5
2022,175.604,1,-20.9319,382.456,32.1524,12.629949402945028,33.56184940294503,19.30789,17.5
2022,175.6249,1,-18.69126667,351.39133333333336,32.4262,12.69379567824471,31.38506234491137,19.245826,17.5
2022,175.6457,1,-19.87163333,430.52366666666666,32.5796,12.725387503127635,32.59702083646097,19.160488,17.5
2022,175.6665,1,-12.6592,214.415,32.858,12.79012624341474,25.44932624341474,19.117819,17.57
